[my_website] Crawled: 12 URLs in 0.76 seconds
[my_website] queue size: 0
         810738 function calls (790128 primitive calls) in 3.783 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6199    0.001    0.000    0.001    0.000 {method 'isprintable' of 'str' objects}
      122    0.001    0.000    0.010    0.000 interface.py:479(changed)
       36    0.001    0.000    0.004    0.000 url.py:369(parse_url)
     3149    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      170    0.001    0.000    0.001    0.000 os.py:675(__getitem__)
   173/84    0.001    0.000    0.001    0.000 declarations.py:1166(_normalizeargs)
      483    0.001    0.000    0.002    0.000 __init__.py:383(_from_text)
      821    0.001    0.000    0.001    0.000 typing_extensions.py:171(_should_collect_from_parameters)
        1    0.001    0.001    0.001    0.001 cd.py:25(encoding_unicode_range)
        1    0.001    0.001    0.001    0.001 {built-in function _posixsubprocess.fork_exec}
     1848    0.001    0.000    0.006    0.000 _collections_abc.py:885(__iter__)
       12    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedRandom' objects}
     3579    0.001    0.000    0.001    0.000 {built-in function posix.fspath}
     3061    0.001    0.000    0.001    0.000 md.py:74(eligible)
      149    0.001    0.000    0.013    0.000 parse.py:535(urljoin)
     2059    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      664    0.001    0.000    0.009    0.000 re.py:202(sub)
     3686    0.001    0.000    0.001    0.000 {method 'isspace' of 'str' objects}
       42    0.001    0.000    0.011    0.000 attr.py:135(__init__)
      344    0.001    0.000    0.002    0.000 visitors.py:106(__init_subclass__)
      506    0.001    0.000    0.002    0.000 posixpath.py:117(splitext)
      570    0.001    0.000    0.001    0.000 md.py:593(<genexpr>)
      146    0.001    0.000    0.010    0.000 textwrap.py:422(dedent)
     1794    0.001    0.000    0.001    0.000 {built-in function _thread.allocate_lock}
      504    0.001    0.000    0.005    0.000 _functools.py:99(wrapper)
      121    0.001    0.000    0.003    0.000 ro.py:240(resolver)
       12    0.001    0.000    0.001    0.000 models.py:335(__init__)
       61    0.001    0.000    0.003    0.000 structures.py:40(__init__)
     4700    0.001    0.000    0.001    0.000 functools.py:457(__hash__)
       16    0.001    0.000    0.003    0.000 typing_extensions.py:818(__new__)
     1873    0.001    0.000    0.001    0.000 typing.py:705(__eq__)
       92    0.001    0.000    0.007    0.000 typing.py:1138(__getitem__)
       84    0.001    0.000    0.001    0.000 utils.py:340(to_key_val_list)
      528    0.001    0.000    0.004    0.000 __init__.py:866(normalize)
      593    0.001    0.000    0.001    0.000 contextlib.py:426(__exit__)
      152    0.001    0.000    0.001    0.000 enum.py:992(__and__)
      487    0.001    0.000    0.001    0.000 pathlib.py:600(_from_parsed_parts)
      483    0.001    0.000    0.009    0.000 pathlib.py:1111(open)
       12    0.001    0.000    0.001    0.000 feedparser.py:477(_parse_headers)
      151    0.001    0.000    0.539    0.004 frozen importlib._bootstrap_external:956(source_to_code)
      186    0.001    0.000    0.005    0.000 _collections_abc.py:991(update)
      601    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
      682    0.001    0.000    0.002    0.000 sre_compile.py:447(_simple)
        1    0.001    0.001    0.001    0.001 decoder.py:165(loads)
      543    0.001    0.000    0.001    0.000 graphviz.py:150(agattr)
      218    0.001    0.000    0.001    0.000 {method 'translate' of 'bytearray' objects}
      411    0.001    0.000    0.009    0.000 typing.py:947(__init__)
      218    0.001    0.000    0.004    0.000 sre_compile.py:435(_mk_bitmap)
      153    0.001    0.000    0.001    0.000 sre_parse.py:225(__init__)
      209    0.001    0.000    0.001    0.000 __init__.py:331(<lambda>)
      295    0.001    0.000    0.001    0.000 inspect.py:2021(_signature_is_functionlike)
      213    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
